"","Industry","Year","AgeRange","Gender","ALTClaims","NLTClaims","FatClaims"
"915","Education","2016","45-49","Female",46,62,0
"916","Education","2016","45-49","Male",16,53,0
"917","Education","2016","50-54","Female",58,96,0
"918","Education","2016","50-54","Male",24,46,0
"919","Education","2016","55-59","Female",42,78,0
"920","Education","2016","55-59","Male",30,50,0
"921","Education","2016","60-64","Female",29,66,1
"922","Education","2016","60-64","Male",18,34,0
"923","Education","2016","65+","Female",9,23,0
"924","Education","2016","65+","Male",3,22,0
"925","Education","2017","15-19","Female",29,87,0
"926","Education","2017","15-19","Male",61,149,0
"927","Education","2017","20-24","Female",22,86,0
"928","Education","2017","20-24","Male",15,43,0
"929","Education","2017","25-29","Female",19,66,0
"930","Education","2017","25-29","Male",13,38,0
"931","Education","2017","30-34","Female",30,58,0
"932","Education","2017","30-34","Male",19,32,0
"933","Education","2017","35-39","Female",26,68,0
"934","Education","2017","35-39","Male",12,35,0
"935","Education","2017","40-44","Female",34,74,0
"936","Education","2017","40-44","Male",23,33,0
"937","Education","2017","45-49","Female",37,81,0
"938","Education","2017","45-49","Male",20,33,0
"939","Education","2017","50-54","Female",63,77,0
"940","Education","2017","50-54","Male",31,64,0
"941","Education","2017","55-59","Female",52,86,0
"942","Education","2017","55-59","Male",31,54,0
"943","Education","2017","60-64","Female",35,41,0
"944","Education","2017","60-64","Male",18,32,0
"945","Education","2017","65+","Female",16,19,0
"946","Education","2017","65+","Male",11,18,0
"947","Education","2018","15-19","Female",30,79,0
"948","Education","2018","15-19","Male",63,162,0
"949","Education","2018","20-24","Female",24,75,0
"950","Education","2018","20-24","Male",18,39,0
"951","Education","2018","25-29","Female",30,58,0
"952","Education","2018","25-29","Male",8,41,0
"953","Education","2018","30-34","Female",21,52,0
"954","Education","2018","30-34","Male",13,38,0
"955","Education","2018","35-39","Female",27,63,0
"956","Education","2018","35-39","Male",29,24,0
"957","Education","2018","40-44","Female",30,71,0
"958","Education","2018","40-44","Male",14,33,0
"959","Education","2018","45-49","Female",50,88,0
"960","Education","2018","45-49","Male",20,37,0
"961","Education","2018","50-54","Female",75,95,0
"962","Education","2018","50-54","Male",22,45,0
"963","Education","2018","55-59","Female",64,98,0
"964","Education","2018","55-59","Male",45,60,0
"965","Education","2018","60-64","Female",34,72,0
"966","Education","2018","60-64","Male",17,27,0
"967","Education","2018","65+","Female",21,28,0
"968","Education","2018","65+","Male",7,23,0
"969","Education","2019","15-19","Female",34,79,0
"970","Education","2019","15-19","Male",89,132,0
"971","Education","2019","20-24","Female",40,80,0
"972","Education","2019","20-24","Male",22,44,0
"973","Education","2019","25-29","Female",32,79,0
"974","Education","2019","25-29","Male",18,38,0
"975","Education","2019","30-34","Female",36,56,0
"976","Education","2019","30-34","Male",20,31,0
"977","Education","2019","35-39","Female",35,87,0
"978","Education","2019","35-39","Male",15,43,0
"979","Education","2019","40-44","Female",51,72,0
"980","Education","2019","40-44","Male",16,35,0
"981","Education","2019","45-49","Female",41,86,0
"982","Education","2019","45-49","Male",22,54,0
"983","Education","2019","50-54","Female",57,110,0
"984","Education","2019","50-54","Male",34,62,0
"985","Education","2019","55-59","Female",63,120,0
"986","Education","2019","55-59","Male",32,55,0
"987","Education","2019","60-64","Female",53,66,0
"988","Education","2019","60-64","Male",21,47,0
"989","Education","2019","65+","Female",20,24,0
"990","Education","2019","65+","Male",4,29,0
"991","Electrical","2011","15-19","Female",1,1,0
"992","Electrical","2011","15-19","Male",5,19,0
"993","Electrical","2011","20-24","Female",6,9,0
"994","Electrical","2011","20-24","Male",24,136,0
"995","Electrical","2011","25-29","Female",7,18,0
"996","Electrical","2011","25-29","Male",38,220,0
"997","Electrical","2011","30-34","Female",9,30,0
"998","Electrical","2011","30-34","Male",33,192,0
"999","Electrical","2011","35-39","Female",3,16,0
"1000","Electrical","2011","35-39","Male",37,142,0
"1001","Electrical","2011","40-44","Female",4,24,0
"1002","Electrical","2011","40-44","Male",48,159,1
"1003","Electrical","2011","45-49","Female",10,38,0
"1004","Electrical","2011","45-49","Male",55,177,0
"1005","Electrical","2011","50-54","Female",12,20,0
"1006","Electrical","2011","50-54","Male",43,154,0
"1007","Electrical","2011","55-59","Female",4,11,0
"1008","Electrical","2011","55-59","Male",23,108,0
"1009","Electrical","2011","60-64","Female",0,5,0
"1010","Electrical","2011","60-64","Male",15,66,0
"1011","Electrical","2011","65+","Female",0,0,0
"1012","Electrical","2011","65+","Male",4,27,0
"1013","Electrical","2012","15-19","Female",0,1,0
"1014","Electrical","2012","15-19","Male",4,20,0
"1015","Electrical","2012","20-24","Female",2,7,0
"1016","Electrical","2012","20-24","Male",22,130,0
"1017","Electrical","2012","25-29","Female",7,18,0
"1018","Electrical","2012","25-29","Male",47,227,0
"1019","Electrical","2012","30-34","Female",7,27,0
"1020","Electrical","2012","30-34","Male",36,201,0
"1021","Electrical","2012","35-39","Female",5,12,0
"1022","Electrical","2012","35-39","Male",30,142,0
"1023","Electrical","2012","40-44","Female",4,28,0
"1024","Electrical","2012","40-44","Male",36,147,0
"1025","Electrical","2012","45-49","Female",7,29,0
"1026","Electrical","2012","45-49","Male",40,193,1
"1027","Electrical","2012","50-54","Female",6,22,0
"1028","Electrical","2012","50-54","Male",32,177,0
"1029","Electrical","2012","55-59","Female",3,24,0
"1030","Electrical","2012","55-59","Male",20,113,0
"1031","Electrical","2012","60-64","Female",1,5,0
"1032","Electrical","2012","60-64","Male",10,55,0
"1033","Electrical","2012","65+","Female",0,1,0
"1034","Electrical","2012","65+","Male",1,31,0
"1035","Electrical","2013","15-19","Female",0,2,0
"1036","Electrical","2013","15-19","Male",4,19,0
"1037","Electrical","2013","20-24","Female",2,11,0
"1038","Electrical","2013","20-24","Male",35,159,0
"1039","Electrical","2013","25-29","Female",6,15,0
"1040","Electrical","2013","25-29","Male",36,238,0
"1041","Electrical","2013","30-34","Female",12,25,0
"1042","Electrical","2013","30-34","Male",33,231,0
